Title,Link,Keywords,Resumen,Importancia
Absence of gamma-sarcoglycan alters the response of p70S6 kinase to mechanical perturbation in murine skeletal muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4095884/,"Sarcoglycan, Sarcoglycanopathies, Limb girdle muscular dystrophy, Mechanotransduction, Mechano-sensing, Load-sensing, p70S6K, S6K, p70S6 kinase, ERK1/2, Dystrophin Glycoprotein Complex, Calcium, mTOR, S6RP, gamma-sarcoglycan","This study investigated the contribution of the sarcoglycan complex, specifically ?-sarcoglycan, to mechanotransduction and its role in muscular dystrophies. Signaling pathways activated by passive stretch were examined in myotubes and muscles isolated from C57 and ?-sarcoglycan-depleted mice. The results showed that basal p70S6K activation was elevated in ?-sarcoglycan-depleted muscles, independent of calcium. Although stretch increased p70S6K activation in both muscle types, the response was sustained in Î³-sarcoglycan-deficient muscles, unlike the transient response observed in wild-type muscles. Furthermore, the loss of Î³-sarcoglycan impaired rapamycin's ability to completely reduce downstream S6RP phosphorylation. These findings suggest that p70S6K is key in Î³-sarcoglycan-dependent mechanotransduction and that Î³-sarcoglycan is essential for the inactivation of this pathway, implying that impaired cargo-sensing mechanisms contribute to the pathology of sarcoglycan-deficient muscular dystrophies.",8
AtRabD2b and AtRabD2c have overlapping functions in pollen development and pollen tube growth.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3040128/,"Rab GTPases, AtRabD2b, AtRabD2c, Arabidopsis thaliana, pollen, pollen development, pollen tube growth, endomembrane trafficking, vesicle transport, functional redundancy, shorter siliques, deformed pollen, seed fertilization, Golgi, mutants","This paper investigates the Rab GTPases AtRabD2b and AtRabD2c in *Arabidopsis thaliana*, which are important regulators of endomembrane trafficking. Single mutants of AtrabD2b and AtrabD2c were found to exhibit no notable morphological changes, but the AtrabD2b/2c double mutant exhibits shorter siliques and produces deformed pollen with swollen and branched pollen tube tips, resulting in unfertilized ovules and lower seed set. Both genes have overlapping expression patterns and are localized to Golgi bodies, suggesting a partially redundant role in vesicle trafficking during pollen development, germination, and pollen tube elongation that cannot be supplied by other members of the AtRabD family.",8
TNO1 is involved in salt tolerance and vacuolar trafficking in Arabidopsis.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3177255/,"TNO1, Arabidopsis, trans-Golgi network, vacuolar trafficking, vesicle fusion, salt tolerance, osmotic stress, SYP41, SYP61, AtVPS45, SNAREs, Brefeldin A, coimmunoprecipitation, mass spectrometry","A novel protein, TNO1 (SYP41-interacting protein localized to the TGN), was identified in *Arabidopsis thaliana* that localizes to the trans-Golgi network (TGN) and is crucial for efficient vacuolar trafficking and salt stress tolerance. TNO1 mutants display increased sensitivity to salt and osmotic stress, as well as altered SYP41 localization and decreased membrane fusion efficiency. These findings suggest that TNO1 is involved in vesicle fusion and in maintaining TGN structure or identity, possibly in conjunction with the SNARE complex SYP41.",8
Functional redundancy between trans-Golgi network SNARE family members in Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11500582/,"AtGTLP, Arabidopsis thaliana, glycosyltransferases, fucosyltransferases, O-fucosyltransferase, membrane trafficking, SNARE proteins, SYP43, Golgi apparatus, trans-Golgi network, glycosylation, subcellular localization, mutant phenotype, colocalization","The present study investigates AtGTLP (Arabidopsis thaliana Glycosyltransferase-Like Protein), a novel membrane-anchored protein that interacts with the Qa-SNARE SYP43 in the trans-Golgi network. Named for its sequence similarity to metazoan fucosyltransferases, AtGTLP is predicted to be a novel member of an as yet uncharacterized family of Arabidopsis fucosyltransferases. Colocalization data indicate that AtGTLP localizes mainly to the Golgi apparatus, especially the trans-Golgi network. *atgtlp?/? single mutants showed no obvious phenotypic differences, suggesting that AtGTLP and related proteins with high sequence similarity may have redundant functions.",8
Root growth movements: Waving and skewing.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,"TNO1, Root skewing, Trans-Golgi network, Microtubules, Cell file rotation, Arabidopsis thaliana, Tethering factor","This study reveals that the trans-Golgi network protein TNO1 modulates root movement in *Arabidopsis thaliana*. *tno1* knockout mutants exhibit increased root skewing and epidermal cell row rotation. Microtubule stabilization increases skewing in these mutant roots, while its destabilization causes severe defects in cell morphology, although microtubule orientation is not affected. It is concluded that TNO1 regulates skewing in a microtubule-dependent manner, but without altering microtubule orientation, and is essential for maintaining cell morphology in mature root regions.",7
Gravitropism and lateral root emergence are dependent on the trans-Golgi network protein TNO1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4642138/,"auxin, trans-Golgi network, lateral root, gravitropism, tethering factor, TNO1, protein trafficking, auxin transport, root development","TNO1 is a protein located in the trans-Golgi network (TGN) that interacts with SYP41 and is essential for efficient protein trafficking to the vacuole. This study demonstrates that the *tno1* mutant exhibits defects related to auxin transport, including delayed lateral root emergence, reduced gravitropic curvature in plant organs, and increased auxin sensitivity. A reduction in auxin asymmetry was observed in lateral root tips and delayed auxin transport during gravistimulation, whereas endocytosis to the TGN was unaffected. These results suggest that TNO1 mediates responses to auxin during root development and gravity stimulation, possibly through trafficking of auxin-binding proteins.",7
"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,"TNO1, Root skewing, Trans-Golgi network, Cell file rotation, Microtubules, Tethering factor, Arabidopsis thaliana","This study investigates the role of the trans-Golgi network protein TNO1 in root movement of *Arabidopsis thaliana*, specifically in the phenomena of skewing and waving. *tno1* null mutants were found to exhibit increased root skewing and epidermal cell rotation compared to wild-type plants. The results suggest that TNO1 modulates root skewing in a microtubule-dependent manner, but not in a microtubule-dependent manner. Furthermore, TNO1 is essential for maintaining cell morphology in mature regions of roots and hypocotyls, implying that the SNARE machinery of the trans-Golgi network is important for proper epidermal cell turnover and cell expansion during root growth.",7
The Drosophila SUN protein Spag4 cooperates with the coiled-coil protein Yuri Gagarin to maintain association of the basal body and spermatid nucleus.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2915878/,"Spag4, Spermatogenesis, Centriole attachment, SUN protein, KASH protein, LINC complex, Yuri Gagarin, Dynein-dynactin, Drosophila, Nuclear envelope, Centriole, Sperm basal body, Centrosome, Coiled-coil proteins","This study characterizes the *Drosophila* Spag4 protein, a putative SUN ortholog, and its crucial role in spermatogenesis. It demonstrates that Spag4 is essential for centriole-nucleus tethering, dynamically localizing to testis germline nuclei and concentrating at the centriole anchoring site. Unlike typical LINC complexes, Spag4 function does not require KASH proteins, but rather the coiled-coil protein Yuri Gagarin, which localizes identically and whose activities, together with those of dynein-dynactin, act downstream of Spag4. The absence of Spag4 causes dissociation of nuclei and centrioles/basal bodies after meiosis, resulting in male infertility.",8
Toll mediated infection response is altered by gravity and spaceflight in Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3901686/,"Spaceflight, Immune response, Drosophila, Hypergravity, Microgravity, Toll pathway, Imd pathway, Fungal infections, Bacterial infections, Transcription profiling, Antimicrobial proteins, Immune dysfunction, Countermeasures, Heat shock system, yuri gagarin","This study investigates the effects of prolonged space travel on immune function using the Drosophila model of innate immunity. Researchers analyzed immune responses under hypergravity and microgravity conditions (spaceflight), focusing on the Toll (for fungal infections) and IMD (for bacterial infections) signaling pathways. They found that hypergravity enhances resistance to Toll-mediated fungal infections, a host-dependent effect, as a gravitactic mutant did not show this enhancement. In contrast, development in microgravity during spaceflight altered gene transcription, activating the heat shock stress system. Specifically, flies exposed to space failed to activate the Toll pathway after being infected with fungi, although the Imd pathway responded normally to bacterial infections. The key findings are that hypergravity and spaceflight have opposing effects, with spaceflight producing stress-related transcriptional responses and a specific inability to mount a Toll-mediated immune response.",9
Multi-omics analysis of multiple missions to space reveal a theme of lipid dysregulation in mouse liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6985101/,"multi omics, multiple, missions, space, reveal, theme",Abstract generated: This article focuses on multi-omics analysis of multiple missions to space reveal a theme of lipid dysregulation in mouse liver. (Source: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6985101/),9
GeneLab database analyzes suggest long-term impact of space radiation on the cardiovascular system by the activation of FYN through reactive oxygen species.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/,"genelab, database, analyses, suggest, long term, impact",Abstract generated: This article focuses on genelab database analyzes suggest long-term impact of space radiation on the cardiovascular system by the activation of fyn through reactive oxygen species.. (Source: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/),9
FAIRness and usability for open-access omics data systems.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371294/,"fairness, and, usability, for, open access, omics","The study evaluated the ""FAIRness"" (Findable, Accessible, Interoperable, and Reusable) of NASA's GeneLab Data Systems (GLDS) and four similar omics data systems using 14 metrics. The systems achieved an average score of 10.1 out of 14, excelling in searchability and accessibility, but showing significant weaknesses in data interoperability and metadata reusability. The text also proposes two new principles for maximizing data accessibility in Big Data systems.",7
NASA GeneLab platform used for biological response to space radiation in animal models,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,"nasa, genelab, platform, used, for, biological","This article describes a study using NASA's GeneLab omics database to investigate astronaut health risks due to ionizing radiation from galactic cosmic rays (GCR). Researchers analyzed transcriptomic datasets from animal models exposed to radiation, both in ground-based and spaceflight studies, with different ion types and doses. The results identified distinct biosignatures and specific cellular responses, such as changes in mitochondrial function, ribosomal assembly, and immune pathways, that correlate with radiation exposure and dose. The study concludes that GeneLab's rich database can be used to generate new hypotheses and improve understanding of the human health risks associated with GCR exposures in space.",9
Circulating miRNA spaceflight signature reveals targets for countermeasure development,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/,"circulating, mirna, spaceflight, signature, reveals, targets","This study identifies and experimentally validates a spaceflight-associated microRNA (miRNA) signature common in rodents and humans in response to simulated and realistic space exposure. This signature includes miRNAs that regulate vascular damage induced by simulated space radiation, and inhibition of certain key miRNAs was successful in mitigating this damage. The research suggests that these miRNAs could be both biomarkers for health risks in space and targets for the development of countermeasures, by influencing cellular processes and being linked to diseases such as cancer, cardiovascular and neurological disorders, and muscle degeneration.",8
Machine learning algorithm to characterize antimicrobial resistance associated with the International Space Station surface microbiome,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9400218/,machine learning algorithm characterize antimicrobial resistance,"This study investigates antimicrobial resistance (AMR) in the International Space Station (ISS) microbiome, a crucial factor for astronaut health during extended spaceflight. Using metagenomic data from the Microbial Tracking-1 project and a deep learning model, the study overcame traditional sequence similarity thresholds to identify AMR genes in 226 culturable strains, metagenomic samples, and assembled genomes. The results revealed a prevalence of AMR on postflight, particularly in bacteria such as *Kalamiella piersonii* (associated with human urinary tract infections), *Enterobacter bugandensis*, and *Bacillus cereus*, which showed high resistance to antibiotics such as beta-lactams. This demonstrates the utility of machine learning in uncovering hidden AMR determinants, improving our understanding of ISS microbiomes and their pathogenic potential.",9
Extraterrestrial Gynecology: Could Spaceflight Increase the Risk of Developing Cancer in Female Astronauts? An Updated Review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9267413/,extraterrestrial gynecology could spaceflight increase risk,"Outer space is a hostile environment, with microgravity and ionizing radiation posing significant health risks to astronauts. This text focuses on its effects on the female reproductive system and the risk of gynecological cancer, an area where women have a higher incidence of radiation-induced cancers on Earth. The objective is to summarize current research and identify future needs to ensure safety during long-duration exploration missions and the post-flight care of astronauts. Space radiation, distinct from terrestrial radiation in its type and energy (including high-energy particles that penetrate shields and tissues), causes complex DNA damage and increases the risk of cancer. Although microgravity also generates significant physiological changes, research on its specific effects on the female reproductive system and gender differences is limited, underscoring the need for further studies in light of the high cumulative radiation doses expected during long-term missions.",10
Muscle atrophy phenotype gene expression during spaceflight is linked to a metabolic crosstalk in both the liver and the muscle in mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9576569/,muscle atrophy phenotype gene expression during,"study examined the transcriptomic response of the liver and quadriceps muscles of mice after 37 days of spaceflight, revealing that lipid metabolism is the most affected biological process in both organs. A strong correlation was found between a specific pattern of gene expression in the liver, linked to glucose conservation and energy saving, and the gene expression of energy-intensive muscle processes such as DNA repair, autophagy, and translation. The results indicate that altered liver lipid metabolism and muscle atrophy are associated events during spaceflight, and that dietary changes represent a potential countermeasure.",8
Chromosomal positioning and epigenetic architecture influence DNA methylation patterns triggered by galactic cosmic radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10789781/,Chromosomal positioning and epigenetic architecture influence,"This study addresses the poorly understood impact of galactic cosmic radiation (GCR) on human health, focusing on DNA methylation patterns and the influence of chromatin architecture. Researchers assessed the spatial patterns of DNA methylation induced by high (56Fe, 28Si) and low (X-ray) linear energy transfer radiation, as well as the role of chromosomal positioning and epigenetic architecture in distinct radial layers of the cell nucleus. They found that 56Fe causes a persistent increase in DNA methylation, whereas 28Si and X-rays induce a non-persistent decrease. The study highlights the importance of nuclear chromatin architecture in the cellular response to external radiation, offering new insights into the epigenetic and transcriptomic response to GCR damage, vital information for minimizing adverse effects during space travel.",7
"comprehensive SARS-CoV-2 and COVID-19 review, Part 2: Host extracellular to systemic effects of SARS-CoV-2 infection",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10772081/,"comprehensive, sars cov 2, and, covid 19, review, part","This text is the second part of a review series on SARS-CoV-2 and COVID-19, exploring the biological effects of the virus on post-acute disease, adaptations, and tissue and organ damage. It details how the infection affects whole-body metabolism, including mitochondrial function, the TCA cycle, and lipid levels, relating these changes to disease severity. It also describes the influence of SARS-CoV-2 on humoral factors such as the renin-angiotensin system and the endocrine system, resulting in organ imbalances and dysfunction. The series seeks to provide a comprehensive understanding of the virus from basic biology to clinical outcomes, highlighting future areas of research.",10
Aging and putative frailty biomarkers are altered by spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166946/,Aging and putative frailty biomarkers are,"Crewed space exploration exposes astronauts to health risks that induce molecular changes similar to the aging process on Earth, including genomic instability, mitochondrial dysfunction, and inflammation. This study addressed the limited understanding of the connection between these changes and the development of diseases, such as frailty syndrome, in space. Using rodent data from NASA's GeneLab and astronaut data from JAXA and Inspiration4 missions, biological markers and pathways related to frailty, aging, and sarcopenia were analyzed. The findings revealed significant changes in gene expression patterns and enrichment of pathways related to aging and inflammation in rodent and human muscles, suggesting the development of a frailty-like condition during spaceflight. Specifically, an increase in the inflammatory immune response and downregulation of the IGF-1 pathway were observed in the soleus muscle. These results indicate that the similarities between spaceflight and aging extend to frailty, warranting future research into the use of a frailty index to monitor astronaut health and develop countermeasures.",7
Space radiation damage rescued by inhibition of key spaceflight associated miRNAs,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166944/,"space, radiation, damage, rescued, inhibition, key","This study developed a strategy to mitigate space radiation damage in astronauts based on the identification of a key microRNA signature. Using 3D cultures of human microvessels exposed to simulated radiation and treated with specific antagomirs (miR-16-5p, miR-125b-5p, let-7a-5p), a significant reduction in inflammation and double-stranded DNA damage was achieved, along with recovery of mitochondrial functions. The antagomirs also preserved microvessel morphology and restored angiogenesis. Validated with astronaut data and mouse models, the study confirms that the genes and pathways involved are altered in humans and that microRNAs play a crucial role in DNA repair pathways. These findings suggest a promising countermeasure to protect astronaut health during space missions.",8
Ethical considerations for the age of non-governmental space exploration,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166968/,ethical considerations for age non governmental space,"The rise of commercial and private spaceflight has ushered in a new era of human exploration, attracting a growing diversity of occupants who are not professional astronauts. This shift has exposed significant shortcomings in existing regulations, ethical guidelines, and medical frameworks, which were primarily designed for government astronauts. Because space travel carries severe health risks, there is an urgent need to develop new policies and practices that address the selection, training, and human research of these non-professional travelers, whose oversight is currently limited. The opportunity to collect health data on these diverse crews also demands strict regulation.",8
Innate immune responses of Drosophila melanogaster are altered by spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000411/,"innate, immune, responses, drosophila, melanogaster, are","This study investigates how the space environment affects pathogenic bacteria, using *Serratia marcescens* and *Drosophila melanogaster* as models. *Serratia marcescens* grown on the International Space Station was found to be significantly more lethal to flies than ground-based control samples. A similar increase in virulence was observed in bacteria grown under simulated microgravity conditions on Earth. However, this increased virulence was temporary and was lost upon re-growing the bacteria under terrestrial conditions, suggesting reversible physiological rather than genetic changes. Bacteria exposed to spaceflight also showed increased growth rates in vitro and in the host at later stages. The findings indicate that the space environment, especially microgravity, induces complex physiological changes in pathogenic bacteria that increase their virulence, underscoring the need to understand these mechanisms.",8
Prolonged Exposure to Microgravity Reduces Cardiac Contractility and Initiates Remodeling in Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787258/,"prolonged exposure, microgravity, reduces, cardiac, contractility","The paper describes research on the effects of microgravity on cardiac health using the fruit fly (Drosophila) model. The results show that exposure to microgravity aboard the International Space Station causes cardiac dysfunction, including reduced cardiac contraction, myofibrillar remodeling, and decreased cardiac output. Genetic and molecular analysis revealed reduced expression of sarcomere and extracellular matrix-related genes and significantly increased expression of proteasomal genes, along with the formation of proteasome aggregates, amyloid, and polyQ deposits, suggesting abnormal proteostatic stress. These effects, which include cardiac remodeling and proteostatic stress, were observed in both wild-type and sei/hERG mutant flies, indicating a fundamental response of cardiac muscle to microgravity and underscoring the importance of understanding these mechanisms for long-term space exploration.",8
Regulation of plant gravity sensing and signaling by the actin cytoskeleton.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8716943/,"regulation, plant, gravity, sensing, and signaling","Primary root growth is essential for the plant, allowing it to anchor and seek nutrients. The actin cytoskeleton is critical in this process, integrating environmental and hormonal stimuli and regulating cell division and elongation. This article reviews how actin, its binding proteins, hormones (especially auxin), and certain drugs affect growth and actin organization in the root. Actin is crucial for cell elongation, characterized by longitudinal bundles and dynamism, and is involved in protein trafficking and vacuolar remodeling. Furthermore, actin mediates the root's response to gravity (statolith perception and auxin transport) and is influenced by light. Drug studies demonstrate that actin depolymerization inhibits root growth by impairing cell elongation. In summary, actin is essential for root cell elongation, contributing to cell wall remodeling and turgor pressure regulation.",6
